summary	summary	NOUN	NN		nmod	False
(	(	PUNCT	-LRB-		punct	False
1	1	X	LS	CARDINAL_B	appos	False
)	)	PUNCT	-RRB-		punct	False
  	  	SPACE	_SP			False
financial	financial	ADJ	JJ		amod	False
markets	market	NOUN	NNS		nsubj	False
came	come	VERB	VBD		ROOT	False
under	under	ADP	IN		prep	True
extraordinary	extraordinary	ADJ	JJ		amod	False
stress	stress	NOUN	NN		pobj	False
over	over	ADP	IN		prep	True
the	the	DET	DT		det	True
intermeeting	intermeete	VERB	VBG		amod	False
period	period	NOUN	NN		pobj	False
.	.	PUNCT	.		punct	False

markets	market	NOUN	NNS		nsubjpass	False
were	be	AUX	VBD		auxpass	True
roiled	roil	VERB	VBN		ROOT	False
by	by	ADP	IN		agent	True
the	the	DET	DT		det	True
bankruptcy	bankruptcy	NOUN	NN		pobj	False
of	of	ADP	IN		prep	True
lehman	lehman	PROPN	NNP	ORG_B	compound	False
brothers	brothers	PROPN	NNPS	ORG_I	pobj	False
(	(	PUNCT	-LRB-		punct	False
which	which	DET	WDT		nsubj	True
occurred	occur	VERB	VBD		relcl	False
just	just	ADV	RB		advmod	True
before	before	ADP	IN		prep	True
the	the	DET	DT		det	True
september	september	PROPN	NNP	DATE_B	compound	False
fomc	fomc	NOUN	NN		compound	False
meeting	meeting	NOUN	NN		pobj	False
)	)	PUNCT	-RRB-		punct	False
,	,	PUNCT	,		punct	False
the	the	DET	DT		det	True
difficulties	difficulty	NOUN	NNS		appos	False
at	at	ADP	IN		prep	True
aig	aig	PROPN	NNP		pobj	False
,	,	PUNCT	,		punct	False
the	the	DET	DT		det	True
closing	closing	NOUN	NN		nsubj	False
of	of	ADP	IN		prep	True
washington	washington	PROPN	NNP	GPE_B	pobj	False
mutual	mutual	PROPN	NNP		relcl	False
,	,	PUNCT	,		punct	False
and	and	CCONJ	CC		cc	True
the	the	DET	DT		det	True
forced	force	VERB	VBN		amod	False
sale	sale	NOUN	NN		conj	False
of	of	ADP	IN		prep	True
wachovia	wachovia	PROPN	NNP	ORG_B	pobj	False
.	.	PUNCT	.		punct	False

those	those	DET	DT		det	True
events	event	NOUN	NNS		nsubj	False
intensified	intensify	VERB	VBD		ROOT	False
already	already	ADV	RB		advmod	True
heightened	heighten	VERB	VBN		amod	False
concerns	concern	NOUN	NNS		dobj	False
about	about	ADP	IN		prep	True
the	the	DET	DT		det	True
condition	condition	NOUN	NN		pobj	False
of	of	ADP	IN		prep	True
other	other	ADJ	JJ		amod	True
u.s	u.s	PROPN	NNP	GPE_B	dep	False
.	.	PROPN	NNP	GPE_I	nmod	False
financial	financial	ADJ	JJ		amod	False
institutions	institution	NOUN	NNS		pobj	False
and	and	CCONJ	CC		cc	True
about	about	ADP	IN		conj	True
the	the	DET	DT		det	True
impact	impact	NOUN	NN		pobj	False
of	of	ADP	IN		prep	True
financial	financial	ADJ	JJ		amod	False
developments	development	NOUN	NNS		pobj	False
on	on	ADP	IN		prep	True
the	the	DET	DT		det	True
broader	broad	ADJ	JJR		amod	False
economy	economy	NOUN	NN		pobj	False
.	.	PUNCT	.		punct	False

against	against	ADP	IN		prep	True
this	this	DET	DT		det	True
backdrop	backdrop	NOUN	NN		pobj	False
,	,	PUNCT	,		punct	False
investors	investor	NOUN	NNS		nsubj	False
pulled	pull	VERB	VBD		ccomp	False
back	back	ADV	RB		advmod	True
further	further	ADV	RB		advmod	True
from	from	ADP	IN		prep	True
risk	risk	NOUN	NN		compound	False
